Path,Model,Accuracy,Fuzzy Accuracy,Jaccard Accuracy,Vending Machine Type,Correct,Incorrect,Fuzzy Correct,Fuzzy Incorrect,Brand Matrix,Parametrized
../photosv2/711_Juice.png,GPT-4,0.2678571428571428,0.2678571428571428,0.3,correctBrands7,"{'Pure Leaf', 'ITO EN', 'Unknown'}","{'Minute Made', 'Arizona', 'ITO EN', 'Liquid Death', 'Arnold Palmer', 'Unknwon', 'Yerba Mate'}","{'Pure Leaf', 'ITO EN', 'Unknown'}","{'Minute Made', 'Arizona', 'ITO EN', 'Liquid Death', 'Arnold Palmer', 'Unknwon', 'Yerba Mate'}","[['Unknown', 'Unknown', 'Guayaki', 'Guayaki', 'Guayaki', 'Guayaki'], ['Unknown', 'Unknown', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN'], ['Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']]",True
../photosv2/711_Beer.png,GPT-4,0.16,0.2,0.35,correctBrands6,"{'Bud Light', 'Unknown', 'Budweiser', 'Blue Point'}","{'Budweiser', 'Juice Bomb IPA', 'Great Lakes', 'Lagunitas', 'Bud Light', 'Blue Point', 'Brooklyn Brewery'}","{'Budweiser', 'Bud Light', 'Unknown', 'Blue Point', 'Brooklyn Brewery'}","{'Budweiser', 'Lagunitas', 'Juice Bomb IPA', 'Great Lakes', 'Bud Light', 'Blue Point'}","[['Blue Point', 'Unknown', 'Unknown', 'Brooklyn Lager'], ['Toasted Lager', 'Blueberry Ale', ""Bell's Two Hearted Ale"", 'Allagash White'], ['Toasted Lager', 'Lagunitas Maximus', 'Great Lakes', 'Allagash White'], ['Budweiser', 'Bud Light Lime', 'Bud Light Platinum', 'Bud Light'], ['Budweiser', 'Bud Light', 'Bud Light', 'Pabst Blue Ribbon'], ['Budweiser', 'Bud Light', 'Bud Light', 'Pabst Blue Ribbon'], ['Natural Light', 'Bud Light', 'Bud Light', 'Pabst Blue Ribbon'], ['Natural Light', 'Bud Light', 'Bud Light', 'Pabst Blue Ribbon'], [""Milwaukee's Best Ice"", ""Milwaukee's Best Ice"", 'High Life', 'High Life'], [""Milwaukee's Best Ice"", ""Milwaukee's Best Ice"", 'High Life', 'High Life']]",True
../photosv2/IMG_2623.png,GPT-4,0.5277777777777778,0.5833333333333334,0.375,correctBrands2,"{'Gatorade', 'Pure Leaf', 'Starbucks'}","{'Lipton', 'Dole', 'Starbucks'}","{'Gatorade', 'Lipton', 'Pure Leaf', 'Starbucks'}","{'Dole', 'Starbucks'}","[['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Starbucks', 'Starbucks', 'Starbucks'], ['Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['LIFEWTR', 'LIFEWTR', 'LIFEWTR', 'LIFEWTR', 'Aquafina', 'Aquafina', 'Aquafina', 'Aquafina']]",True
../photosv2/Jasons_Beer.png,GPT-4,0.2666666666666666,0.2666666666666666,0.625,correctBrands10,"{'Sierra Nevada', 'Angry Orchard', 'Unknown'}","{'Sierra Nevada', 'Fat Tire', 'Unknown', 'Voodoo Ranger'}","{'Sierra Nevada', 'Angry Orchard', 'Unknown'}","{'Sierra Nevada', 'Fat Tire', 'Unknown', 'Voodoo Ranger'}","[['Unknown', 'Angry Orchard', 'Angry Orchard'], ['Unknown', 'Fat Tire', 'Voodoo Ranger'], ['Sierra Nevada', 'Torpedo', 'Sierra Nevada'], ['Unknown', 'Heineken', 'Yuengling']]",True
../photosv2/711_Sodas_Stickers.png,GPT-4,0.1636363636363636,0.2545454545454545,0.2666666666666666,correctBrands8,"{'A&W', 'Mountain Dew', 'Sprite', 'Pepsi'}","{'Liquid Death', 'Unknown', 'Minute Made', 'A&W', 'Starry', 'Mountain Dew', 'Canada Dry', 'Coca Cola'}","{'Pepsi', 'A&W', 'Sprite', 'Mountain Dew', 'Coca Cola'}","{'Liquid Death', 'Unknown', 'Minute Made', 'A&W', 'Starry', 'Mountain Dew', 'Canada Dry', 'Coca Cola'}","[['Sprite', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Pepsi', 'Pepsi'], ['A&W', 'Dasani', 'Dasani', 'Mountain Dew', 'Mountain Dew', 'Mountain Dew'], ['Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi'], ['Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola'], ['Coca-Cola', 'Fanta', 'Minute Maid', 'Coca-Cola', 'Dr Pepper', 'Coca-Cola'], ['Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Coca-Cola']]",False
../photosv2/711_Sodas.png,GPT-4,0.5306122448979592,0.6326530612244898,0.5714285714285714,correctBrands9,"{'Replenish', 'Gatorade'}","{'Unknown', 'Body Armor', 'Gatorade'}","{'Replenish', 'Body Armor', 'Gatorade'}","{'Unknown', 'Body Armor', 'Gatorade'}","[['Gatorade', 'Gatorade', 'Gatorade', 'Electrolit', 'Electrolit', 'Electrolit'], ['BodyArmor', 'BodyArmor', 'BodyArmor', 'BodyArmor', 'Unknown', 'Unknown'], ['Replenish', 'Replenish', 'Replenish', 'Replenish', 'Replenish', 'Replenish'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Powerade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade']]",False
../photosv2/drinks2.png,GPT-4,0.6428571428571429,0.7857142857142857,0.4090909090909091,correctBrands1,"{'Pabst Blue Ribbon', '7UP', 'Guinness', 'Boylan', 'Unknown', 'House Wine', 'Aunt Sally', 'Poland Spring', 'Mango Mosaic'}","{'Hanalei Island', 'Lone Star', 'Cutwater', 'Coca Cola'}","{'Pabst Blue Ribbon', '7UP', 'Guinness', 'Boylan', 'Unknown', 'House Wine', 'Aunt Sally', 'Poland Spring', 'Mango Mosaic', 'Lone Star', 'Coca Cola'}","{'Hanalei Island', 'Cutwater'}","[['Coca-Cola', '7UP', 'Unknown', 'Pabst Blue Ribbon', 'Bloody Mary', 'Fugu Vodka Mule', 'House Wine'], ['Aunt Sally', 'Guinness', 'Lone Star Beer', 'Unknown', 'Mango Mosaic', 'Poland Spring', 'Boylan'], ['Schweppes', 'Schweppes', 'Canada Dry', 'Red Bull', 'S.Pellegrino', 'Unknown', 'Red Stripe']]",False
../photosv2/Jasons_Water.png,GPT-4,0.1,0.3,0.1176470588235294,correctBrands11,"{'Liquid Death', 'Poland Spring'}","{'Liquid Death', 'Voss', 'Propel', 'Aquafina', 'Smart Water', 'Life Water', 'Path', 'Action', 'Fiji'}","{'Liquid Death', 'Smart Water', 'Path', 'Poland Spring', 'Fiji'}","{'Liquid Death', 'Voss', 'Propel', 'Aquafina', 'Smart Water', 'Life Water', 'Action', 'Fiji'}","[['FIJI', 'Unknown', 'Liquid Death', 'Poland Spring', 'Poland Spring'], ['Unknown', 'Unknown', 'Unknown', 'Poland Spring', 'LIFEWTR', 'Smartwater', 'PATH'], ['Unknown', 'Unknown', 'Unknown', 'Poland Spring', 'FIJI', 'FIJI', 'ACTIVIA'], ['Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring', 'Poland Spring']]",False
../photosv2/711_Juice.png,GPT-4,0.3035714285714285,0.3035714285714285,0.3,correctBrands7,"{'Unknown', 'ITO EN', 'Pure Leaf'}","{'Liquid Death', 'Yerba Mate', 'Unknown', 'Minute Made', 'Unknwon', 'Arnold Palmer', 'Arizona'}","{'Unknown', 'ITO EN', 'Pure Leaf'}","{'Liquid Death', 'Yerba Mate', 'Unknown', 'Minute Made', 'Unknwon', 'Arnold Palmer', 'Arizona'}","[['Unknown', 'Unknown', 'Guayaki', 'Guayaki', 'Guayaki', 'Guayaki', 'Guayaki'], ['ITO EN', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN', 'ITO EN'], ['Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown'], ['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']]",False
../photosv2/711_Beer.png,GPT-4,0.32,0.44,0.4117647058823529,correctBrands6,"{'Unknown', 'Budweiser', 'Great Lakes', 'Lagunitas', 'Blue Point', 'Bud Light'}","{'Juice Bomb IPA', 'Budweiser', 'Allagash White', 'Brooklyn Brewery', 'Blue Point', 'Bud Light'}","{'Unknown', 'Budweiser', 'Great Lakes', 'Lagunitas', 'Brooklyn Brewery', 'Blue Point', 'Bud Light'}","{'Juice Bomb IPA', 'Allagash White', 'Blue Point', 'Bud Light'}","[['Blue Point', 'Unknown', 'Unknown', 'Brooklyn Lager'], ['Unknown', 'Lagunitas', 'Great Lakes', 'Great Lakes', 'Allagash'], ['Budweiser', 'Bud Light Lime', 'Bud Light Platinum', 'Bud Light'], ['Budweiser', 'Bud Light', 'Pabst Blue Ribbon', 'Pabst Blue Ribbon'], ['Natural Ice', 'Natural Ice', ""Milwaukee's Best Ice"", ""Milwaukee's Best Ice"", 'High Life', 'High Life']]",False
../photosv2/IMG_2623.png,GPT-4,0.6111111111111112,0.7222222222222222,0.3,correctBrands2,"{'Pure Leaf', 'Starbucks', 'Gatorade'}","{'Dole', 'Lipton', 'Starbucks'}","{'Pure Leaf', 'Dole', 'Starbucks', 'Gatorade'}","{'Dole', 'Lipton', 'Starbucks'}","[['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Starbucks', 'Starbucks', 'Starbucks', 'Starbucks'], ['Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf', 'Pure Leaf'], ['Snapple', 'Snapple', 'Snapple', 'Snapple', 'Lemonade', 'Lemonade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['LIFEWTR', 'LIFEWTR', 'LIFEWTR', 'LIFEWTR', 'Aquafina', 'Aquafina', 'Aquafina', 'Aquafina', 'Aquafina']]",False
../photosv2/Jasons_Beer.png,GPT-4,0.4666666666666667,0.4666666666666667,0.625,correctBrands10,"{'Unknown', 'Angry Orchard', 'Voodoo Ranger', 'Sierra Nevada'}","{'Unknown', 'Fat Tire', 'Voodoo Ranger', 'Sierra Nevada'}","{'Unknown', 'Angry Orchard', 'Voodoo Ranger', 'Sierra Nevada'}","{'Unknown', 'Fat Tire', 'Voodoo Ranger', 'Sierra Nevada'}","[['Unknown', 'Angry Orchard', 'Angry Orchard', 'Angry Orchard'], ['Unknown', 'Fat Tire', 'Voodoo Ranger', 'Voodoo Ranger'], ['Sierra Nevada', 'Sierra Nevada', 'Sierra Nevada', 'Unknown'], ['Unknown', 'Unknown', 'Yuengling', 'Samuel Adams', 'Peroni']]",False
../photosv2/711_Sodas_Stickers.png,GPT-4,0.1272727272727272,0.2181818181818181,0.2105263157894736,correctBrands8,"{'A&W', 'Mountain Dew', 'Sprite', 'Pepsi'}","{'Liquid Death', 'Pepsi', 'Unknown', 'Minute Made', 'A&W', 'Starry', 'Mountain Dew', 'Canada Dry', 'Coca Cola'}","{'Pepsi', 'A&W', 'Sprite', 'Mountain Dew', 'Coca Cola'}","{'Liquid Death', 'Unknown', 'Minute Made', 'A&W', 'Starry', 'Mountain Dew', 'Canada Dry', 'Coca Cola'}","[['Sprite', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Pepsi', 'Pepsi'], ['A&W', 'Dasani', 'Mountain Dew', 'Mountain Dew', 'Mountain Dew', 'Sierra Mist'], ['Mountain Dew', 'Pepsi', 'Diet Pepsi', 'Diet Pepsi', 'Pepsi', 'Pepsi'], ['Coca-Cola', 'Coca-Cola', 'Diet Coke', 'Diet Coke', 'Coca-Cola', 'Coca-Cola'], ['Coca-Cola', 'Fanta', 'Lemonade', 'Diet Coke', 'Dr Pepper', 'Cherry Coke'], ['Mountain Dew', 'Pepsi', 'Diet Pepsi', 'Diet Pepsi', 'Pepsi', 'Coca-Cola'], ['Pepsi', 'Pepsi', 'Diet Pepsi', 'Diet Pepsi', 'Pepsi', 'Coca-Cola']]",True
../photosv2/711_Sodas.png,GPT-4,0.5510204081632653,0.6326530612244898,0.5714285714285714,correctBrands9,"{'Replenish', 'Gatorade'}","{'Unknown', 'Body Armor', 'Gatorade'}","{'Replenish', 'Body Armor', 'Gatorade'}","{'Unknown', 'Body Armor', 'Gatorade'}","[['Gatorade', 'Gatorade', 'Gatorade', 'Electrolit', 'Electrolit', 'Electrolit'], ['BodyArmor', 'BodyArmor', 'BodyArmor', 'BodyArmor', 'Unknown', 'Unknown'], ['Replenish', 'Replenish', 'Replenish', 'Replenish', 'Replenish', 'Replenish'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade', 'Gatorade'], ['Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade', 'Powerade']]",True
../photosv2/drinks2.png,GPT-4,0.5,0.5714285714285714,0.5,correctBrands1,"{'Pabst Blue Ribbon', 'Guinness', '7UP', 'Unknown', 'Aunt Sally', 'Mango Mosaic', 'Lone Star'}","{'Hanalei Island', 'Cutwater', 'Coca Cola', 'Poland Spring'}","{'Pabst Blue Ribbon', '7UP', 'Guinness', 'Unknown', 'Aunt Sally', 'Mango Mosaic', 'Lone Star', 'Coca Cola'}","{'Hanalei Island', 'Cutwater', 'Poland Spring'}","[['Coca-Cola', '7UP', 'Unknown', 'Pabst Blue Ribbon', 'Unknown', 'House Wine'], ['Aunt Sally', 'Guinness', 'Lone Star', 'Unknown', 'Mango Mosaic', 'Boylan'], ['Schweppes', 'Schweppes', 'Canada Dry', 'Red Bull', 'S.Pellegrino', 'Boylan']]",True
